financial_year,simd_quintile,age_group,total,year,time,appropriate,large,small,total_births,prop_small,prop_appropriate,prop_large,success_small,failure_small
2008/09,4,Under 25,1736,2008,11,1349,195,184,1728,0.10648148148148148,0.7806712962962963,0.11284722222222222,184,1544
2008/09,4,Unknown,1,2008,11,1,0,0,1,0,1,0,0,1
2008/09,5,25-34,5238,2008,11,4201,711,316,5228,0.060443764345830146,0.803557765876052,0.13599846977811783,316,4912
2008/09,5,35 and over,3013,2008,11,2349,484,173,3006,0.05755156353958749,0.781437125748503,0.16101131071190952,173,2833
2008/09,5,Under 25,1014,2008,11,829,102,77,1008,0.0763888888888889,0.8224206349206349,0.10119047619047619,77,931
2009/10,1,25-34,6921,2009,12,5397,837,657,6891,0.09534175010883761,0.783195472355246,0.12146277753591642,657,6234
2009/10,1,35 and over,1548,2009,12,1190,214,140,1544,0.09067357512953368,0.7707253886010362,0.13860103626943004,140,1404
2009/10,1,Under 25,5870,2009,12,4698,525,621,5844,0.10626283367556469,0.8039014373716632,0.08983572895277207,621,5223
2009/10,2,25-34,6437,2009,12,5030,908,473,6411,0.07377944158477616,0.7845889876774295,0.14163157073779442,473,5938
2009/10,2,35 and over,1729,2009,12,1329,250,147,1726,0.08516801853997683,0.7699884125144844,0.14484356894553882,147,1579
2009/10,2,Under 25,3736,2009,12,3048,345,326,3719,0.08765797257327239,0.8195751546114547,0.09276687281527292,326,3393
2009/10,3,25-34,6114,2009,12,4907,792,399,6098,0.0654312889471958,0.8046900623155133,0.1298786487372909,399,5699
2009/10,3,35 and over,2209,2009,12,1700,356,146,2202,0.06630336058128973,0.7720254314259763,0.16167120799273388,146,2056
2009/10,3,Under 25,2415,2009,12,2010,247,154,2411,0.06387391124014932,0.8336789713811696,0.10244711737868105,154,2257
2009/10,4,25-34,5717,2009,12,4614,746,331,5691,0.058162010191530486,0.8107538218239325,0.13108416798453698,331,5360
2009/10,4,35 and over,2669,2009,12,2038,473,152,2663,0.05707848291400676,0.7653022906496433,0.17761922643634998,152,2511
2009/10,4,Under 25,1688,2009,12,1392,151,137,1680,0.08154761904761905,0.8285714285714286,0.08988095238095238,137,1543
2009/10,5,25-34,5123,2009,12,4087,745,279,5111,0.054588143220504794,0.7996478184308354,0.14576403834865975,279,4832
